大众,dazhong
丰田,fengtian
福特,fute
克莱斯勒,kelaisile
雷诺,leinuo
菲亚特,feiyate
现代,xiandai
标致,biaozhi
本田,bentian
宝马,baoma
荣威,rongwei
MG,mg
中华,zhonghua
哈飞,hafei
吉利汽车,jiliqiche
奇瑞,qirui
北京,beijing
东风,dongfeng
奥迪,aodi
阿尔法罗密欧,aerfaluomiou
阿斯顿马丁,asidun
奔驰,benchi
布加迪,bujiadi
别克,bieke
宾利,binli
保时捷,baoshijie
道奇,daoqi
法拉利,falali
悍马,hanma
捷豹,jiebao
smart,smart
Jeep,jeep
凯迪拉克,kaidilake
兰博基尼,lanbojini
路虎,luhu
路特斯,lutesi
林肯,linken
雷克萨斯,leikesasi
铃木,lingmu
劳斯莱斯,laosilaisi
迈巴赫,maibahe
MINI,mini
玛莎拉蒂,mashaladi
马自达,mazida
欧宝,oubao
讴歌,ouge
起亚,qiya
日产,richan
萨博,sabo
斯巴鲁,sibalu
世爵,shijue
斯柯达,sikeda
三菱,sanling
双龙,shuanglong
沃尔沃,woerwo
雪佛兰,xuefolan
雪铁龙,xuetielong
英菲尼迪,yingfeinidi
中兴,zhongxing
比亚迪,biyadi
长安,changan
长城,changcheng
猎豹汽车,liebaoqiche
昌河,changhe
力帆,lifan
东南,dongnan
广汽传祺,guangqichuanqi
金杯,jinbei
江淮,jianghuai
华普,huapu
海马,haima
华泰,huatai
陆风,lufeng
莲花汽车,lianhuaqiche
双环,shuanghuan
红旗,hongqi
大发,dafa
永源,yongyuan
众泰,zhongtai
奔腾,benteng
福田,futian
黄海,huanghai
西雅特,xiyate
威兹曼,weiziman
科尼赛克,kenisaike
开瑞,kairui
威麟,weilin
瑞麒,ruiqi
广汽吉奥,guangqijiao
KTM,ktm
一汽,yiqi
野马汽车,yemaqiche
GMC,gmc
东风风神,dongfengfengshen
五菱汽车,wulingqiche
光冈,guanggang
劳伦士,laolunshi
江铃,jiangling
宝骏,baojun
启辰,qichen
理念,linian
迈凯伦,maikailun
纳智捷,nazhijie
特斯拉,tesila
巴博斯,babosi
福迪,fudi
东风小康,dongfengxiaokang
北汽威旺,beiqiweiwang
依维柯,yiweike
金龙,jinlong
欧朗,oulang
陕汽通家,shanqitongjia
海格,haige
九龙,jiulong
观致,guanzhi
北汽制造,beiqizhizao
上汽大通,shangqidatong
卡尔森,kaersen
腾势,tengshi
思铭,siming
长安商用,changanshangyong
东风风行,dongfengfengxing
摩根,mogen
DS,ds
北汽绅宝,beiqishenbao
如虎,ruhu
金旅,jinlv
哈弗,hafu
新凯,xinkai
东风风度,dongfengfengdu
潍柴英致,weichaiyingzhi
成功汽车,chenggongqiche
福汽启腾,fuqiqiteng
卡威,kawei
泰卡特,taikate
北汽幻速,beiqihuansu
陆地方舟,ludifangzhou
知豆,zhidou
北汽新能源,beiqixinnengyuan
南京金龙,nanjingjinlong
凯翼,kaiyi
雷丁,leiding
华颂,huasong
安凯客车,ankaikeche
卡升,kasheng
LOCAL MOTORS,local motors
帕加尼,pajiani
康迪,kangdi
江铃集团轻汽,jianglingjituanqingqi
华凯,huakai
华泰新能源,huataixinnengyuan
恒天,hengtian
东风风光,dongfengfengguang
AC Schnitzer,ac schnitzer
赛麟,sailin
斯达泰克,sidataike
五十铃,wushiling
驭胜,yusheng
